id,customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_int,payment_type,monthly_charges,total_charges,churn,tenure_month,has_churned,has_phone,has_internet,has_internet_and_phone,partner_dependents,start_day,phone_type,internet_type,contract_type
32,0052-DCKON,Male,0,Yes,No,2,2,1,Bank transfer (automatic),115.8,7942.15,No,68.6,False,True,True,True,1,2015-06-03,Two or More Lines,Fiber Optic,1 Year
33,0052-YNYOT,Female,0,No,No,1,0,1,Electronic check,20.55,1343.4,No,65.4,False,True,False,False,0,2015-09-03,One Line,No Internet Service,1 Year
34,0056-EPFBG,Male,0,Yes,Yes,0,1,2,Credit card (automatic),39.4,825.4,No,20.9,False,False,True,False,3,2019-06-03,No Phone Service,DSL,2 Year
35,0057-QBUQH,Female,0,No,Yes,2,0,2,Electronic check,25.1,1070.15,No,42.6,False,True,False,False,2,2017-08-03,Two or More Lines,No Internet Service,2 Year
36,0058-EVZWM,Female,0,Yes,No,2,2,0,Bank transfer (automatic),89.8,4959.6,No,55.2,False,True,True,True,1,2016-07-03,Two or More Lines,Fiber Optic,Month-to-Month
37,0060-FUALY,Female,0,Yes,No,2,2,0,Electronic check,94.75,5597.65,No,59.1,False,True,True,True,1,2016-03-03,Two or More Lines,Fiber Optic,Month-to-Month
38,0064-SUDOG,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),20.3,224.5,No,11.1,False,True,False,False,3,2020-03-03,One Line,No Internet Service,2 Year
39,0064-YIJGF,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),75.75,1929.0,No,25.5,False,True,True,True,3,2019-01-03,Two or More Lines,Fiber Optic,Month-to-Month
40,0067-DKWBL,Male,1,No,No,1,1,0,Electronic check,49.25,91.1,Yes,1.8,True,True,True,True,0,2021-01-03,One Line,DSL,Month-to-Month
41,0068-FIGTF,Female,0,No,No,1,1,1,Mailed check,78.2,2078.95,No,26.6,False,True,True,True,0,2018-12-03,One Line,DSL,1 Year
42,0071-NDAFP,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.5,630.6,No,24.7,False,True,False,False,3,2019-02-03,Two or More Lines,No Internet Service,2 Year
43,0074-HDKDG,Male,0,Yes,Yes,1,1,1,Bank transfer (automatic),61.6,1611.0,No,26.2,False,True,True,True,3,2018-12-03,One Line,DSL,1 Year
44,0076-LVEPS,Male,0,No,Yes,0,1,0,Mailed check,45.0,1242.45,No,27.6,False,False,True,False,2,2018-11-03,No Phone Service,DSL,Month-to-Month
45,0078-XZMHT,Male,0,Yes,No,2,1,2,Bank transfer (automatic),85.15,6316.2,No,74.2,False,True,True,True,1,2014-12-03,Two or More Lines,DSL,2 Year
46,0080-EMYVY,Female,0,No,No,1,1,1,Credit card (automatic),51.45,727.85,No,14.1,False,True,True,True,0,2019-12-03,One Line,DSL,1 Year
47,0080-OROZO,Female,0,No,No,1,2,1,Electronic check,99.25,3532.0,No,35.6,False,True,True,True,0,2018-03-03,One Line,Fiber Optic,1 Year
48,0082-LDZUE,Male,0,No,No,1,1,0,Mailed check,44.3,44.3,No,1.0,False,True,True,True,0,2021-01-03,One Line,DSL,Month-to-Month
49,0082-OQIQY,Male,0,No,No,1,2,0,Electronic check,94.2,2607.6,No,27.7,False,True,True,True,0,2018-11-03,One Line,Fiber Optic,Month-to-Month
50,0083-PIVIK,Male,0,No,No,2,1,1,Electronic check,81.25,5567.55,No,68.5,False,True,True,True,0,2015-06-03,Two or More Lines,DSL,1 Year
51,0089-IIQKO,Female,0,Yes,Yes,2,2,0,Credit card (automatic),99.95,3767.4,No,37.7,False,True,True,True,3,2018-01-03,Two or More Lines,Fiber Optic,Month-to-Month
52,0093-EXYQL,Female,1,No,No,1,2,0,Electronic check,91.55,3673.6,No,40.1,False,True,True,True,0,2017-10-03,One Line,Fiber Optic,Month-to-Month
53,0093-XWZFY,Male,0,No,No,2,2,0,Credit card (automatic),104.5,4036.85,Yes,38.6,True,True,True,True,0,2017-12-03,Two or More Lines,Fiber Optic,Month-to-Month
54,0094-OIFMO,Female,1,No,No,1,2,0,Electronic check,95.0,1120.3,Yes,11.8,True,True,True,True,0,2020-03-03,One Line,Fiber Optic,Month-to-Month
55,0096-BXERS,Female,0,Yes,No,2,1,0,Electronic check,50.35,314.55,No,6.2,False,True,True,True,1,2020-08-03,Two or More Lines,DSL,Month-to-Month
56,0096-FCPUF,Male,0,No,No,2,1,0,Mailed check,64.5,1888.45,No,29.3,False,True,True,True,0,2018-09-03,Two or More Lines,DSL,Month-to-Month
57,0098-BOWSO,Male,0,No,No,1,0,0,Electronic check,19.4,529.8,No,27.3,False,True,False,False,0,2018-11-03,One Line,No Internet Service,Month-to-Month
58,0100-DUVFC,Male,1,Yes,No,2,2,1,Electronic check,104.8,7308.95,No,69.7,False,True,True,True,1,2015-05-03,Two or More Lines,Fiber Optic,1 Year
59,0103-CSITQ,Female,0,Yes,No,2,2,1,Bank transfer (automatic),109.4,6252.7,No,57.2,False,True,True,True,1,2016-05-03,Two or More Lines,Fiber Optic,1 Year
60,0104-PPXDV,Male,0,Yes,No,1,1,1,Credit card (automatic),50.3,2878.55,No,57.2,False,True,True,True,1,2016-05-03,One Line,DSL,1 Year
61,0106-GHRQR,Male,0,No,No,2,1,0,Bank transfer (automatic),71.4,1212.1,No,17.0,False,True,True,True,0,2019-10-03,Two or More Lines,DSL,Month-to-Month
62,0106-UGRDO,Female,0,Yes,No,2,2,2,Electronic check,116.0,8182.85,No,70.5,False,True,True,True,1,2015-04-03,Two or More Lines,Fiber Optic,2 Year
63,0107-WESLM,Male,0,No,No,1,0,0,Electronic check,19.85,19.85,Yes,1.0,True,True,False,False,0,2021-01-03,One Line,No Internet Service,Month-to-Month
64,0107-YHINA,Male,0,No,Yes,2,2,0,Electronic check,99.75,99.75,Yes,1.0,True,True,True,True,2,2021-01-03,Two or More Lines,Fiber Optic,Month-to-Month
65,0111-KLBQG,Male,1,Yes,Yes,1,2,0,Mailed check,93.95,2861.45,No,30.5,False,True,True,True,3,2018-08-03,One Line,Fiber Optic,Month-to-Month
66,0112-QAWRZ,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),90.8,1442.2,No,15.9,False,True,True,True,3,2019-11-03,Two or More Lines,Fiber Optic,Month-to-Month
67,0112-QWPNC,Male,0,Yes,No,2,1,1,Electronic check,84.35,4059.35,Yes,48.1,True,True,True,True,1,2017-02-03,Two or More Lines,DSL,1 Year
68,0114-IGABW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),58.25,4145.9,No,71.2,False,False,True,False,1,2015-03-03,No Phone Service,DSL,2 Year
69,0114-PEGZZ,Female,0,No,No,2,2,0,Electronic check,107.55,3645.5,No,33.9,False,True,True,True,0,2018-05-03,Two or More Lines,Fiber Optic,Month-to-Month
70,0114-RSRRW,Female,0,Yes,No,1,0,0,Bank transfer (automatic),19.95,187.75,No,9.4,False,True,False,False,1,2020-05-03,One Line,No Internet Service,Month-to-Month
71,0115-TFERT,Male,0,Yes,No,2,2,0,Electronic check,111.2,2317.1,Yes,20.8,True,True,True,True,1,2019-06-03,Two or More Lines,Fiber Optic,Month-to-Month
72,0117-LFRMW,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),40.2,1448.8,Yes,36.0,True,False,True,False,3,2018-02-03,No Phone Service,DSL,Month-to-Month
73,0118-JPNOY,Female,1,No,No,1,2,0,Credit card (automatic),85.8,2193.65,No,25.6,False,True,True,True,0,2019-01-03,One Line,Fiber Optic,Month-to-Month
74,0121-SNYRK,Male,0,No,No,0,1,1,Mailed check,35.4,1748.9,No,49.4,False,False,True,False,0,2017-01-03,No Phone Service,DSL,1 Year
75,0122-OAHPZ,Female,0,No,No,2,2,0,Electronic check,73.85,511.25,Yes,6.9,True,True,True,True,0,2020-08-03,Two or More Lines,Fiber Optic,Month-to-Month
76,0123-CRBRT,Female,0,Yes,Yes,2,1,2,Mailed check,88.1,5526.75,No,62.7,False,True,True,True,3,2015-12-03,Two or More Lines,DSL,2 Year
77,0125-LZQXK,Male,0,No,No,1,2,0,Electronic check,101.35,1553.95,Yes,15.3,True,True,True,True,0,2019-11-03,One Line,Fiber Optic,Month-to-Month
78,0128-MKWSG,Female,0,No,Yes,0,1,0,Mailed check,45.8,1147.0,No,25.0,False,False,True,False,2,2019-01-03,No Phone Service,DSL,Month-to-Month
79,0129-KPTWJ,Male,0,Yes,No,1,2,0,Electronic check,94.65,6747.35,No,71.3,False,True,True,True,1,2015-03-03,One Line,Fiber Optic,Month-to-Month
80,0129-QMPDR,Male,0,Yes,Yes,1,0,1,Bank transfer (automatic),20.5,865.05,No,42.2,False,True,False,False,3,2017-08-03,One Line,No Internet Service,1 Year
81,0130-SXOUN,Male,0,No,No,2,2,0,Credit card (automatic),89.4,5976.9,No,66.9,False,True,True,True,0,2015-08-03,Two or More Lines,Fiber Optic,Month-to-Month
82,0133-BMFZO,Female,0,No,No,1,2,0,Electronic check,86.25,181.65,Yes,2.1,True,True,True,True,0,2020-12-03,One Line,Fiber Optic,Month-to-Month
83,0134-XWXCE,Female,1,No,No,1,1,1,Bank transfer (automatic),74.85,3268.05,No,43.7,False,True,True,True,0,2017-07-03,One Line,DSL,1 Year
84,0135-NMXAP,Female,0,No,No,2,2,0,Bank transfer (automatic),89.75,1052.4,Yes,11.7,True,True,True,True,0,2020-03-03,Two or More Lines,Fiber Optic,Month-to-Month
85,0136-IFMYD,Male,1,Yes,No,2,2,2,Electronic check,109.95,7634.25,No,69.4,False,True,True,True,1,2015-05-03,Two or More Lines,Fiber Optic,2 Year
86,0137-OCGAB,Female,0,No,No,2,2,0,Mailed check,80.2,80.2,Yes,1.0,True,True,True,True,0,2021-01-03,Two or More Lines,Fiber Optic,Month-to-Month
87,0137-UDEUO,Female,0,No,No,1,0,0,Mailed check,19.85,63.75,Yes,3.2,True,True,False,False,0,2020-11-03,One Line,No Internet Service,Month-to-Month
88,0139-IVFJG,Female,0,Yes,No,1,2,0,Electronic check,90.35,190.5,No,2.1,False,True,True,True,1,2020-12-03,One Line,Fiber Optic,Month-to-Month
89,0141-YEAYS,Female,1,No,No,2,2,0,Bank transfer (automatic),86.45,2401.05,No,27.8,False,True,True,True,0,2018-11-03,Two or More Lines,Fiber Optic,Month-to-Month
90,0142-GVYSN,Male,0,No,No,1,0,0,Electronic check,20.3,511.25,No,25.2,False,True,False,False,0,2019-01-03,One Line,No Internet Service,Month-to-Month
91,0147-ESWWR,Female,1,Yes,No,2,2,0,Electronic check,101.25,3949.15,No,39.0,False,True,True,True,1,2017-11-03,Two or More Lines,Fiber Optic,Month-to-Month
92,0148-DCDOS,Male,0,No,No,2,2,0,Bank transfer (automatic),94.7,2362.1,Yes,24.9,True,True,True,True,0,2019-02-03,Two or More Lines,Fiber Optic,Month-to-Month
93,0151-ONTOV,Female,0,No,No,1,2,0,Mailed check,70.9,70.9,Yes,1.0,True,True,True,True,0,2021-01-03,One Line,Fiber Optic,Month-to-Month
94,0156-FVPTA,Male,0,Yes,No,1,1,0,Electronic check,54.2,1152.7,Yes,21.3,True,True,True,True,1,2019-05-03,One Line,DSL,Month-to-Month
95,0164-APGRB,Female,0,No,No,2,2,2,Electronic check,114.9,8496.7,No,73.9,False,True,True,True,0,2015-01-03,Two or More Lines,Fiber Optic,2 Year
96,0164-XAIRP,Female,0,No,No,1,0,2,Bank transfer (automatic),19.55,470.2,No,24.1,False,True,False,False,0,2019-02-03,One Line,No Internet Service,2 Year
97,0168-XZKBB,Female,0,Yes,No,2,2,0,Electronic check,86.85,1564.4,No,18.0,False,True,True,True,1,2019-08-03,Two or More Lines,Fiber Optic,Month-to-Month
98,0174-QRVVY,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.35,1847.55,No,72.9,False,True,False,False,3,2015-02-03,Two or More Lines,No Internet Service,2 Year
99,0177-PXBAT,Male,1,Yes,No,2,2,0,Bank transfer (automatic),109.9,3694.7,No,33.6,False,True,True,True,1,2018-05-03,Two or More Lines,Fiber Optic,Month-to-Month
100,0178-CIIKR,Female,0,No,No,1,0,0,Mailed check,19.95,58.0,No,2.9,False,True,False,False,0,2020-12-03,One Line,No Internet Service,Month-to-Month
101,0178-SZBHO,Male,0,Yes,Yes,2,2,0,Electronic check,87.2,4017.45,No,46.1,False,True,True,True,3,2017-04-03,Two or More Lines,Fiber Optic,Month-to-Month
102,0181-RITDD,Male,0,Yes,Yes,1,2,2,Mailed check,108.15,6825.65,No,63.1,False,True,True,True,3,2015-11-03,One Line,Fiber Optic,2 Year
103,0186-CAERR,Male,0,No,No,2,2,1,Bank transfer (automatic),116.3,8309.55,No,71.4,False,True,True,True,0,2015-03-03,Two or More Lines,Fiber Optic,1 Year
104,0187-QSXOE,Male,1,Yes,No,1,2,0,Electronic check,89.0,605.45,No,6.8,False,True,True,True,1,2020-08-03,One Line,Fiber Optic,Month-to-Month
105,0187-WZNAB,Female,0,Yes,Yes,1,2,0,Mailed check,74.4,1972.35,No,26.5,False,True,True,True,3,2018-12-03,One Line,Fiber Optic,Month-to-Month
106,0188-GWFLE,Male,0,No,No,1,0,0,Mailed check,20.05,33.7,No,1.7,False,True,False,False,0,2021-01-03,One Line,No Internet Service,Month-to-Month
107,0191-EQUUH,Female,0,No,Yes,0,1,2,Bank transfer (automatic),35.05,844.45,No,24.1,False,False,True,False,2,2019-02-03,No Phone Service,DSL,2 Year
108,0191-ZHSKZ,Male,1,No,No,1,1,0,Electronic check,74.75,2111.3,No,28.2,False,True,True,True,0,2018-10-03,One Line,DSL,Month-to-Month
109,0193-ESZXP,Female,1,Yes,No,1,2,1,Credit card (automatic),105.5,6205.5,Yes,58.8,True,True,True,True,1,2016-04-03,One Line,Fiber Optic,1 Year
110,0195-IESCP,Male,0,Yes,No,2,2,0,Electronic check,85.25,855.3,Yes,10.0,True,True,True,True,1,2020-04-03,Two or More Lines,Fiber Optic,Month-to-Month
111,0196-JTUQI,Female,0,No,No,2,2,0,Credit card (automatic),75.2,633.85,No,8.4,False,True,True,True,0,2020-06-03,Two or More Lines,Fiber Optic,Month-to-Month
112,0196-VULGZ,Female,1,Yes,No,2,2,0,Electronic check,84.35,474.9,Yes,5.6,True,True,True,True,1,2020-09-03,Two or More Lines,Fiber Optic,Month-to-Month
113,0197-PNKNK,Female,0,Yes,Yes,2,2,1,Bank transfer (automatic),84.45,5848.6,No,69.3,False,True,True,True,3,2015-05-03,Two or More Lines,Fiber Optic,1 Year
114,0201-MIBOL,Female,1,No,No,2,2,2,Bank transfer (automatic),102.4,6471.85,No,63.2,False,True,True,True,0,2015-11-03,Two or More Lines,Fiber Optic,2 Year
115,0201-OAMXR,Female,0,No,No,2,2,1,Credit card (automatic),115.55,8127.6,Yes,70.3,True,True,True,True,0,2015-04-03,Two or More Lines,Fiber Optic,1 Year
116,0203-HHYIJ,Male,0,No,No,2,0,1,Bank transfer (automatic),25.3,676.35,Yes,26.7,True,True,False,False,0,2018-12-03,Two or More Lines,No Internet Service,1 Year
117,0206-OYVOC,Female,0,Yes,Yes,1,0,2,Mailed check,19.25,864.2,No,44.9,False,True,False,False,3,2017-06-03,One Line,No Internet Service,2 Year
118,0206-TBWLC,Female,0,Yes,No,2,2,1,Mailed check,114.65,6049.5,No,52.8,False,True,True,True,1,2016-10-03,Two or More Lines,Fiber Optic,1 Year
119,0207-MDKNV,Female,0,No,No,1,2,0,Electronic check,105.1,1582.75,Yes,15.1,True,True,True,True,0,2019-11-03,One Line,Fiber Optic,Month-to-Month
120,0208-BPQEJ,Female,0,Yes,Yes,1,0,0,Bank transfer (automatic),19.4,198.1,No,10.2,False,True,False,False,3,2020-04-03,One Line,No Internet Service,Month-to-Month
121,0212-ISBBF,Female,0,No,No,0,1,0,Electronic check,50.35,1098.85,No,21.8,False,False,True,False,0,2019-05-03,No Phone Service,DSL,Month-to-Month
122,0214-JHPFW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),57.8,4039.3,No,69.9,False,False,True,False,1,2015-05-03,No Phone Service,DSL,2 Year
123,0215-BQKGS,Male,0,No,No,1,2,0,Credit card (automatic),84.3,2438.6,No,28.9,False,True,True,True,0,2018-10-03,One Line,Fiber Optic,Month-to-Month
124,0218-QNVAS,Male,0,Yes,Yes,2,2,1,Bank transfer (automatic),100.55,7113.75,No,70.7,False,True,True,True,3,2015-04-03,Two or More Lines,Fiber Optic,1 Year
125,0219-QAERP,Male,0,Yes,No,1,0,1,Credit card (automatic),19.8,576.65,No,29.1,False,True,False,False,1,2018-09-03,One Line,No Internet Service,1 Year
126,0219-YTZUE,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),84.8,371.9,Yes,4.4,True,True,True,True,3,2020-10-03,Two or More Lines,Fiber Optic,Month-to-Month
127,0220-EBGCE,Male,0,No,No,1,2,0,Electronic check,85.85,167.3,Yes,1.9,True,True,True,True,0,2021-01-03,One Line,Fiber Optic,Month-to-Month
128,0221-NAUXK,Male,0,No,Yes,1,0,1,Bank transfer (automatic),19.95,219.5,No,11.0,False,True,False,False,2,2020-03-03,One Line,No Internet Service,1 Year
129,0221-WMXNQ,Male,1,No,No,1,2,0,Electronic check,75.35,273.4,No,3.6,False,True,True,True,0,2020-11-03,One Line,Fiber Optic,Month-to-Month
130,0222-CNVPT,Male,1,No,No,0,1,0,Credit card (automatic),48.8,2555.05,No,52.4,False,False,True,False,0,2016-10-03,No Phone Service,DSL,Month-to-Month
131,0224-HJAPT,Male,0,No,No,2,1,0,Electronic check,47.15,223.15,Yes,4.7,True,True,True,True,0,2020-10-03,Two or More Lines,DSL,Month-to-Month
132,0224-NIJLP,Male,0,Yes,Yes,1,0,2,Mailed check,20.15,165.5,No,8.2,False,True,False,False,3,2020-06-03,One Line,No Internet Service,2 Year
133,0224-RLWWD,Female,1,No,No,1,1,0,Electronic check,44.3,89.3,No,2.0,False,True,True,True,0,2020-12-03,One Line,DSL,Month-to-Month
134,0225-ZORZP,Male,0,No,No,1,2,0,Electronic check,84.3,235.05,No,2.8,False,True,True,True,0,2020-12-03,One Line,Fiber Optic,Month-to-Month
135,0228-MAUWC,Male,0,No,No,2,1,0,Electronic check,59.55,1144.6,No,19.2,False,True,True,True,0,2019-07-03,Two or More Lines,DSL,Month-to-Month
136,0229-LFJAF,Male,0,No,No,2,1,2,Bank transfer (automatic),69.65,4908.25,No,70.5,False,True,True,True,0,2015-04-03,Two or More Lines,DSL,2 Year
137,0230-UBYPQ,Male,1,Yes,No,0,1,1,Bank transfer (automatic),36.1,2298.9,No,63.7,False,False,True,False,1,2015-11-03,No Phone Service,DSL,1 Year
138,0230-WEQUW,Male,0,Yes,No,0,1,2,Bank transfer (automatic),56.6,3789.2,No,66.9,False,False,True,False,1,2015-08-03,No Phone Service,DSL,2 Year
139,0231-LXVAP,Male,0,No,No,1,2,0,Electronic check,75.9,75.9,Yes,1.0,True,True,True,True,0,2021-01-03,One Line,Fiber Optic,Month-to-Month
140,0233-FTHAV,Female,0,No,No,2,2,1,Bank transfer (automatic),79.2,4765.0,No,60.2,False,True,True,True,0,2016-02-03,Two or More Lines,Fiber Optic,1 Year
141,0234-TEVTT,Female,0,Yes,Yes,0,1,1,Credit card (automatic),45.0,2196.3,No,48.8,False,False,True,False,3,2017-02-03,No Phone Service,DSL,1 Year
142,0235-KGSLC,Female,0,No,No,1,2,0,Credit card (automatic),85.55,85.55,Yes,1.0,True,True,True,True,0,2021-01-03,One Line,Fiber Optic,Month-to-Month
143,0236-HFWSV,Male,0,No,No,2,2,0,Electronic check,93.35,1444.65,Yes,15.5,True,True,True,True,0,2019-11-03,Two or More Lines,Fiber Optic,Month-to-Month
144,0237-YFUTL,Female,0,Yes,No,2,2,0,Bank transfer (automatic),109.65,5405.8,No,49.3,False,True,True,True,1,2017-01-03,Two or More Lines,Fiber Optic,Month-to-Month
145,0238-WHBIQ,Male,0,Yes,Yes,2,1,2,Credit card (automatic),89.7,6339.3,No,70.7,False,True,True,True,3,2015-04-03,Two or More Lines,DSL,2 Year
146,0239-OXEXL,Female,0,No,No,2,2,0,Mailed check,84.25,3847.6,No,45.7,False,True,True,True,0,2017-05-03,Two or More Lines,Fiber Optic,Month-to-Month
147,0244-LGNFY,Female,0,Yes,Yes,2,1,2,Bank transfer (automatic),92.65,6733.0,No,72.7,False,True,True,True,3,2015-02-03,Two or More Lines,DSL,2 Year
148,0247-SLUJI,Male,0,Yes,Yes,1,0,0,Mailed check,19.7,19.7,No,1.0,False,True,False,False,3,2021-01-03,One Line,No Internet Service,Month-to-Month
149,0248-IPDFW,Female,0,No,No,2,1,0,Electronic check,50.1,50.1,No,1.0,False,True,True,True,0,2021-01-03,Two or More Lines,DSL,Month-to-Month
150,0248-PGHBZ,Female,1,No,No,1,2,2,Bank transfer (automatic),92.45,6140.85,No,66.4,False,True,True,True,0,2015-08-03,One Line,Fiber Optic,2 Year
151,0253-ZTEOB,Female,0,Yes,Yes,2,1,2,Electronic check,79.65,3870.3,No,48.6,False,True,True,True,3,2017-02-03,Two or More Lines,DSL,2 Year
152,0254-FNMCI,Female,0,No,No,1,2,2,Electronic check,109.9,7624.2,No,69.4,False,True,True,True,0,2015-05-03,One Line,Fiber Optic,2 Year
153,0254-KCJGT,Male,0,Yes,No,2,1,1,Credit card (automatic),81.4,4354.45,No,53.5,False,True,True,True,1,2016-09-03,Two or More Lines,DSL,1 Year
154,0254-WWRKD,Female,0,Yes,Yes,1,1,1,Credit card (automatic),50.55,3431.75,No,67.9,False,True,True,True,3,2015-07-03,One Line,DSL,1 Year
155,0256-LTHVJ,Female,0,Yes,Yes,1,2,0,Electronic check,81.05,2227.1,Yes,27.5,True,True,True,True,3,2018-11-03,One Line,Fiber Optic,Month-to-Month
156,0257-KXZGU,Female,0,Yes,Yes,2,1,0,Bank transfer (automatic),62.45,2045.55,No,32.8,False,True,True,True,3,2018-06-03,Two or More Lines,DSL,Month-to-Month
157,0257-ZESQC,Female,1,Yes,No,1,2,0,Bank transfer (automatic),75.2,1929.35,Yes,25.7,True,True,True,True,1,2019-01-03,One Line,Fiber Optic,Month-to-Month
